Model,Variable,Coefficient,P-value,Conf. Interval Lower,Conf. Interval Upper
Sk,intercept,5.531847910288677,0.0013783541071570053,2.142748717617611,8.920947102959744
Sk,comp_noint,-17.218999932988172,0.0004909730633715923,-26.901205236177013,-7.536794629799331
Sk,R-squared,NA,NA,NA,NA
Sk,AIC,40.91227760514362,NA,NA,NA
Sk,BIC,44.775928870592274,NA,NA,NA
Reock,intercept,3.069368741672918,0.0010840215150357568,1.2283976391279563,4.91033984421788
Reock,reock,-12.898406037599756,0.00033718088947130663,-19.950281034563773,-5.84653104063574
Reock,R-squared,NA,NA,NA,NA
Reock,AIC,49.69805540219361,NA,NA,NA
Reock,BIC,53.56170666764226,NA,NA,NA
Isoperimetric Quotient,intercept,4.646377015061685,0.001377112181905216,1.7999947828045588,7.492759247318812
Isoperimetric Quotient,isoper_q,-10.247500749539112,0.0004235059392918693,-15.945320579744575,-4.5496809193336505
Isoperimetric Quotient,R-squared,NA,NA,NA,NA
Isoperimetric Quotient,AIC,45.59580766488289,NA,NA,NA
Isoperimetric Quotient,BIC,49.45945893033154,NA,NA,NA
Boyce Clark,intercept,-3.856922811819098,0.000753398142319678,-6.100495487251733,-1.613350136386464
Boyce Clark,boyce_clarck,0.09439512244939707,0.0010651571205897857,0.03786394778035717,0.15092629711843697
Boyce Clark,R-squared,NA,NA,NA,NA
Boyce Clark,AIC,50.58821783619369,NA,NA,NA
Boyce Clark,BIC,54.451869101642345,NA,NA,NA
